Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Actors_Stars,Direction_Stars,Screenplay_Stars,Oscars,Oscar_Nominations,BAFTA_Awards,BAFTA_Nominations,Golden_Globes,Golden_Globe_Nominations,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
31,tt0078788,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 2 Oscar Nominations: 8 BAFTA Awards: 2 BAFTA Nominations: 8 Golden Globes: 3 Golden Globe Nominations: 4,Apocalypse Now,Apocalypse Now,https://www.imdb.com/title/tt0078788/,Movie,8.4,147,1979,"['Drama', 'Mystery', 'War']",737184,1979-08-15,Francis Ford Coppola,5.0,5.0,5.0,2.0,8.0,2.0,8.0,3.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,tt0086879,2012-12-21,2017-03-28,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 8 Oscar Nominations: 11 BAFTA Awards: 4 BAFTA Nominations: 9 Golden Globes: 4 Golden Globe Nominations: 6,Amadeus,Amadeus,https://www.imdb.com/title/tt0086879/,Movie,8.4,160,1984,"['Biography', 'Drama', 'Music']",445789,1984-09-19,Milos Forman,5.0,5.0,5.0,8.0,11.0,4.0,9.0,4.0,6.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,tt0167260,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 5 Stars Screenplay: 4.9 StarsOscars: 11 Oscar Nominations: 11 BAFTA Awards: 4 BAFTA Nominations: 10 Golden Globes: 4 Golden Globe Nominations: 4,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,Movie,9.0,201,2003,"['Adventure', 'Drama', 'Fantasy']",2063375,2003-12-17,Peter Jackson,4.8,5.0,4.9,11.0,11.0,4.0,10.0,4.0,4.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,tt0172495,2012-12-21,2017-03-28,***** Actors: 5 Stars Direction: 4.7 Stars Screenplay: 4.7 StarsOscars: 5 Oscar Nominations: 12 BAFTA Awards: 4 BAFTA Nominations: 12 Golden Globes: 2 Golden Globe Nominations: 5,Gladiator,Gladiator,https://www.imdb.com/title/tt0172495/,Movie,8.5,155,2000,"['Action', 'Adventure', 'Drama']",1743313,2000-05-05,Ridley Scott,5.0,4.7,4.7,5.0,12.0,4.0,12.0,2.0,5.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,tt0120338,2012-12-21,2017-03-28,***** Actors: 4.7 Stars Direction: 4.9 Stars Screenplay: 4.5 StarsOscars: 11 Oscar Nominations: 14 BAFTA Awards: 0 BAFTA Nominations: 8 Golden Globes: 4 Golden Globe Nominations: 8,Titanic,Titanic,https://www.imdb.com/title/tt0120338/,Movie,7.9,194,1997,"['Drama', 'Romance']",1330925,1997-12-19,James Cameron,4.7,4.9,4.5,11.0,14.0,0.0,8.0,4.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,tt0045793,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 5 Stars Screenplay: 4.8 StarsOscars: 8 Oscar Nominations: 13 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 2 Golden Globe Nominations: 2,From Here to Eternity,From Here to Eternity,https://www.imdb.com/title/tt0045793/,Movie,7.6,118,1953,"['Drama', 'Romance', 'War']",52431,1953-08-28,Fred Zinnemann,4.8,5.0,4.8,8.0,13.0,0.0,1.0,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,tt0120815,2012-12-21,2017-03-28,Actors: 4.9 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 5 Oscar Nominations: 11 BAFTA Awards: 2 BAFTA Nominations: 8 Golden Globes: 2 Golden Globe Nominations: 5,Saving Private Ryan,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,Movie,8.6,169,1998,"['Drama', 'War']",1558404,1998-07-24,Steven Spielberg,4.9,4.9,4.9,5.0,11.0,2.0,8.0,2.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,tt0105695,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 4 Oscar Nominations: 9 BAFTA Awards: 1 BAFTA Nominations: 6 Golden Globes: 2 Golden Globe Nominations: 4,Unforgiven,Unforgiven,https://www.imdb.com/title/tt0105695/,Movie,8.2,130,1992,"['Drama', 'Western']",451533,1992-08-07,Clint Eastwood,4.8,4.9,4.9,4.0,9.0,1.0,6.0,2.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,tt0082971,2012-12-21,2017-03-28,Actors: 4.7 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 4 Oscar Nominations: 8 BAFTA Awards: 1 BAFTA Nominations: 6 Golden Globes: 0 Golden Globe Nominations: 1,Raiders of the Lost Ark,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,Movie,8.4,115,1981,"['Action', 'Adventure']",1068350,1981-06-12,Steven Spielberg,4.7,4.9,4.8,4.0,8.0,1.0,6.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,tt0075148,2012-12-21,2017-03-28,Actors: 4.6 Stars Direction: 4.8 Stars Screenplay: 4.6 StarsOscars: 3 Oscar Nominations: 10 BAFTA Awards: 0 BAFTA Nominations: 5 Golden Globes: 1 Golden Globe Nominations: 6,Rocky,Rocky,https://www.imdb.com/title/tt0075148/,Movie,8.1,120,1976,"['Drama', 'Sport']",655253,1976-12-03,John G. Avildsen,4.6,4.8,4.6,3.0,10.0,0.0,5.0,1.0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,tt0044081,2012-12-21,2017-03-28,Actors: 4.9 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 4 Oscar Nominations: 12 BAFTA Awards: 1 BAFTA Nominations: 2 Golden Globes: 1 Golden Globe Nominations: 3,A Streetcar Named Desire,A Streetcar Named Desire,https://www.imdb.com/title/tt0044081/,Movie,7.9,122,1951,['Drama'],116938,1951-09-19,Elia Kazan,4.9,4.9,4.9,4.0,12.0,1.0,2.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
